,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
1417,Hyundai,Kona,Black,Grey interior,Full leather interior,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,146 kW,1 598 ccm,124 g/km,No emission class,10 km,10/2023,,,,New,,,10/2026,,,,,,,,,,,41849
1418,Audi,A1,Silver,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,117 g/km,Euro 6d-TEMP,3 000 km,10/2023,1,Metallic,,Demonstration car,,,10/2026,,,,,,,,,,,40399
1419,Renault,Captur,Red,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 330 ccm,133 g/km,Euro 6d-TEMP,30 010 km,2/2023,,,1273,Used,,,,,,,,,,,,,,31399
1420,BMW,320,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,140 kW,1 995 ccm,125 g/km,Euro 6,145 750 km,4/2019,,Metallic,,Used,Germany,,,,,,,,,,,,,17949
1421,Abarth,595,White,Brown interior,Full leather interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,121 kW,1 368 ccm,139 g/km,Euro 6,64 000 km,1/2018,,Metallic,1035,Used,Belgium,,,,,,,,,,,,,17449
1422,Volkswagen,Caddy,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,84 kW,1 498 ccm,134 g/km,Euro 6d,10 km,8/2023,,,,New,,,,,,,,,,,,,,47099
1423,Toyota,Auris Touring Sports,White,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,1 197 ccm,112 g/km,Euro 6,102 300 km,3/2017,2,,,,,,,,,,,,,,,,,13399
1424,BMW,X7,Purple,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,250 kW,2 993 ccm,0 g/km,Euro 6,20 755 km,9/2022,1,Metallic,,Used,,,09/2025,,,,,,,,,,,109799
1425,Volkswagen,Polo,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,66 kW,1 422 ccm,88 g/km,Euro 6,114 000 km,5/2017,,Metallic,,,,,12/2025,,,,,,,,,,,10799
1426,Citroen,C5 Aircross,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,130 kW,1 997 ccm,123 g/km,Euro 6d,53 958 km,5/2020,1,Metallic,,,,,,,,,,,,,,,,28899
1427,Smart,ForTwo,Black,Other interior color,Cloth interior,Hatchback,2/3 doors,2,not published by the seller,Electric,Automatic,4x2,60 kW,,0 g/km,Euro 6d,17 300 km,11/2020,1,,,,,,,Lithium-ion (Li-ion),18 kWh,No,,1 h,,,,,,14199
1428,BMW,M8,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,460 kW,4 395 ccm,258 g/km,Euro 6d,20 688 km,4/2021,1,Metallic,,,,,,,,,,,,,,,,119349
1429,Volkswagen,ID.5,Blue,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,1 650 km,4/2023,,Metallic,2118,Used,Germany,,,,,,,,,,,,,52999
1430,Ford,Kuga,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,140 kW,2 488 ccm,118 g/km,Euro 6,7 188 km,4/2022,,Metallic,,Used,,,,Lithium-ion (Li-ion),1 kWh,No,Plug-in hybrid,,,64 km,,,,35149
1431,Mazda,6,Blue,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,107 kW,1 998 ccm,144 g/km,Euro 6,55 688 km,10/2018,,Metallic,1374,Used,Belgium,,,,,,,,,,,,,24699
1432,Audi,Q3,Grey,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,140 kW,1 984 ccm,166 g/km,Euro 6d-TEMP,25 618 km,10/2020,1,Metallic,,,,,,,,,,,,,,,,39999
1433,Maserati,Grecale,Green,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,221 kW,2 000 ccm,0 g/km,No emission class,18 000 km,5/2023,1,Metallic,,,,,,,,,,,,,,,,95799
1434,Volkswagen,T-Cross,Blue,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,110 g/km,Euro 6d-TEMP,19 500 km,3/2022,1,Metallic,,,,,,,,,,,,,,,,25299
1435,Nissan,Qashqai,Black,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,116 kW,1 332 ccm,121 g/km,Euro 6,39 969 km,3/2022,,Metallic,,Used,,,,,,,,,,,,,,27299
1436,Lexus,RX 450,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x4,230 kW,3 456 ccm,136 g/km,Euro 6c,104 791 km,8/2018,1,Metallic,,,,,,,,,,,,,,,,48149
1437,Ford,EcoSport,Grey,,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,70 kW,1 499 ccm,107 g/km,Euro 6,58 909 km,6/2017,,,,Used,,06/2024,,,,,,,,,,,,13449
1438,Jeep,Compass,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,1 598 ccm,135 g/km,Euro 6,22 700 km,6/2021,1,,,,,,,,,,,,,,,,,28599
1439,Peugeot,2008,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,109 g/km,Euro 6d,18 507 km,11/2021,1,Metallic,,,,,,,,,,,,,,,,25199
1440,Ford,Fiesta,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,92 kW,999 ccm,104 g/km,Euro 6,10 km,11/2023,1,Metallic,,Used,,,11/2026,,,,,,,,,,,31349
1441,Opel,Crossland,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 199 ccm,107 g/km,Euro 6,11 207 km,5/2018,2,Metallic,,,,,,,,,,,,,,,,17949
1442,Opel,Corsa,White,Black interior,Cloth interior,Hatchback,2/3 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 364 ccm,128 g/km,Euro 6,44 940 km,9/2018,4,,,,,,06/2025,,,,,,,,,,,13399
1443,Mercedes-Benz,C 220,White,Other interior color,Velour interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,147 kW,1 993 ccm,0 g/km,Euro 6,107 690 km,12/2021,,,1820,Used,,,,,,,,,,,,,,51849
1444,Ford,Kuga,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,140 kW,2 488 ccm,120 g/km,Euro 6,43 798 km,12/2021,1,,,Used,,12/2024,,Lithium-ion (Li-ion),1 kWh,No,Full hybrid,,,,,,,31399
1445,Land Rover,Range Rover Evoque,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,150 kW,1 998 ccm,139 g/km,Euro 6,11 873 km,7/2022,,Metallic,,Demonstration car,Germany,,,,,,,,,,,,,51099
1446,Volkswagen,Polo,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,999 ccm,105 g/km,Euro 6d,12 550 km,10/2022,1,Metallic,,,,,,,,,,,,,,,,23149
1447,Volkswagen,Arteon,Black,Black interior,Full leather interior,Coupe,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,140 kW,1 984 ccm,141 g/km,Euro 6,25 824 km,5/2020,,Metallic,1600,Used,,,,,,,,,,,,,,36899
1448,Volkswagen,Golf,Blue,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,108 g/km,Euro 6d,7 500 km,3/2023,1,Metallic,,,,,,,,,,,,,,,,27549
1449,Porsche,Macan,Silver,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,195 kW,1 984 ccm,228 g/km,Euro 6d,13 772 km,7/2022,1,Metallic,,,,,,,,,,,,,,,,67949
1450,Citroen,C3 Aircross,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,1 199 ccm,131 g/km,Euro 6,76 452 km,7/2019,1,,,Used,,06/2024,,,,,,,,,,,,16949
1451,Audi,A3,Blue,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,102 g/km,Euro 6d,10 km,8/2023,,Metallic,1495,New,,,,,,,,,,,,,,37899
1452,Toyota,C-HR,Blue,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,135 kW,1 987 ccm,92 g/km,Euro 6,78 594 km,9/2020,1,,,Used,,12/2026,,Nickel-metal hydride (NiMH),2 kWh,No,Full hybrid,,,,Petrol,,,26299
1453,Opel,Corsa,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,98 g/km,No emission class,12 665 km,11/2022,1,Metallic,,,,,11/2025,,,,,,,,,,,18849
1454,BMW,X3,Silver,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,190 kW,2 993 ccm,0 g/km,Euro 6,102 021 km,4/2017,3,Metallic,,,,,06/2025,,,,,,,,,,,29949
1455,Audi,SQ8,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,373 kW,3 996 ccm,275 g/km,Euro 6d,10 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,147749
1456,Renault,Captur,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,999 ccm,121 g/km,Euro 6d-TEMP,15 403 km,11/2022,,,1196,Used,,,,,,,,,,,,,,25799
1457,Hyundai,i10,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,49 kW,998 ccm,97 g/km,Euro 6,14 573 km,6/2021,,Metallic,,,,,,,,,,,,,,,,14899
1458,Audi,Q2,Orange,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 968 ccm,128 g/km,Euro 6,149 997 km,10/2017,,Metallic,2075,Used,Germany,,,,,,,,,,,,,18999
1459,Dacia,Sandero,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,898 ccm,124 g/km,Euro 5,49 569 km,6/2014,1,Metallic,,,,,,,,,,,,,,,,9849
1460,Ford,Edge,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,154 kW,1 997 ccm,152 g/km,Euro 6,127 000 km,11/2017,,Metallic,,Used,,,,,,,,,,,,,,26799
1461,Audi,A6,Silver,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,150 kW,1 968 ccm,129 g/km,Euro 6d,8 999 km,3/2023,1,Metallic,,Demonstration car,,,,,,,,,,,,,,66949
1462,DS Automobiles,DS3,,Other interior color,Other interior material,Hatchback,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,82 kW,1 199 ccm,119 g/km,No emission class,37 760 km,11/2018,,,,Used,,,,,,,,,,,,,,17399
1463,MINI,Cooper S Clubman,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,141 kW,1 998 ccm,151 g/km,Euro 6,86 455 km,2/2019,2,Metallic,,,,,,,,,,,,,,,,21099
1464,Citroen,SpaceTourer,Grey,,,MPV/VAN,4/5 doors,8+,not published by the seller,Diesel,Manual,4x2,85 kW,1 560 ccm,137 g/km,Euro 6,76 054 km,3/2017,,,,Used,,,,,,,,,,,,,,31499
1465,Hyundai,i20,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,62 kW,1 198 ccm,112 g/km,Euro 6d-TEMP,33 650 km,8/2020,1,Metallic,,,,,,,,,,,,,,,,16399
1466,Audi,A1,Black,Black interior,Full leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,116 g/km,Euro 6,28 801 km,3/2020,,Metallic,1240,Used,,,,,,,,,,,,,,26599
1467,Audi,A4,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,150 kW,1 968 ccm,120 g/km,Euro 6d-TEMP,28 500 km,9/2022,,Metallic,,Used,Germany,,,,,,,,,,,,,46749
1468,Mercedes-Benz,C 300,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,180 kW,1 950 ccm,149 g/km,Euro 6d-TEMP,109 950 km,10/2018,,,,Used,Germany,,,,,,,,,,,,,29649
1469,Volkswagen,T-Cross,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,85 kW,999 ccm,113 g/km,Euro 6,36 500 km,10/2019,1,,,,,,,,,,,,,,,,,24049
1470,Volkswagen,Polo,White,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,110 g/km,Euro 6,14 532 km,4/2021,,,,Used,,12/2024,,,,,,,,,,,,20049
1471,Volkswagen,Tiguan Allspace,Blue,Other interior color,Velour interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 498 ccm,146 g/km,Euro 6,30 800 km,10/2020,1,Metallic,,,,,12/2025,,,,,,,,,,,28899
1472,Volkswagen,T-Cross,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,999 ccm,112 g/km,Euro 6d,11 250 km,6/2022,1,Metallic,,,,,,,,,,,,,,,,25699
1473,Mercedes-Benz,C 300,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,225 kW,1 950 ccm,143 g/km,Euro 6d-TEMP,62 292 km,7/2020,1,Metallic,,,,,,,,,,,,,,,,44399
1474,Hyundai,Tucson,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 598 ccm,139 g/km,Euro 6d,10 km,11/2023,,,,,,,,,,,,,,,,,,29549
1475,BMW,318,White,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 995 ccm,119 g/km,Euro 6,139 900 km,12/2016,,,,Used,,06/2024,,,,,,,,,,,,23099
1476,Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,176 kW,1 968 ccm,167 g/km,Euro 6d-TEMP,46 380 km,3/2020,,,1800,Used,Germany,,,,,,,,,,,,,35999
1477,Skoda,Yeti,Grey,Beige interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x4,103 kW,1 968 ccm,159 g/km,Euro 5,96 073 km,9/2013,,Metallic,1530,Used,Germany,,,,,,,,,,,,,14849
1478,Rolls-Royce,Cullinan,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x4,420 kW,6 749 ccm,349 g/km,No emission class,50 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,610699
1479,Mercedes-Benz,E 300,White,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,235 kW,1 991 ccm,36 g/km,Euro 6d-TEMP,3 706 km,12/2022,1,Metallic,,,,,,,9 kWh,No,,,,,,,,56399
1480,Renault,Koleos,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,135 kW,1 997 ccm,160 g/km,Euro 6d-TEMP,24 627 km,1/2023,1,Metallic,,,,,,,,,,,,,,,,36849
1481,MG,Marvel R,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,132 kW,,0 g/km,No emission class,10 km,1/2023,,,1810,,Italy,,,,,,,,,,,,,43149
1482,Volkswagen,up!,Red,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,48 kW,999 ccm,98 g/km,Euro 6d,12 270 km,11/2020,1,,,,,,,,,,,,,,,,,13649
1483,Hyundai,Tucson,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,195 kW,1 598 ccm,119 g/km,No emission class,10 km,11/2023,,Metallic,,New,,,,Lithium polymer (Li-pol),,No,,,,,,,,45249
1484,Citroen,C4,Red,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,20 km,1/2023,,Metallic,,Demonstration car,,,01/2026,,,,,,,,,,,37049
1485,BMW,118,Blue,Black interior,Full leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,100 kW,1 499 ccm,0 g/km,Euro 6d-TEMP,57 990 km,4/2019,,Metallic,,,,,,,,,,,,,,,,23499
1486,Nissan,Juke,Grey,,,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,85 kW,999 ccm,0 g/km,,15 430 km,6/2022,,,,,,,,,,,,,,,,,,18899
1487,Fiat,Panda,Grey,Other interior color,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x4,63 kW,875 ccm,0 g/km,Euro 6,1 km,12/2022,,,1090,,,,,,,,,,,,,,,25099
1488,Toyota,Aygo,Red,Other interior color,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,53 kW,998 ccm,93 g/km,Euro 6d-TEMP,65 535 km,9/2019,,,830,Used,,,,,,,,,,,,,,11399
1489,Volvo,XC40,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,185 kW,,0 g/km,No emission class,1 km,11/2023,,Metallic,2030,,,,,Lithium-ion (Li-ion),82 kWh,No,,8 h,27 min,,,,,46249
1490,Peugeot,3008,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,1 598 ccm,124 g/km,Euro 6,20 149 km,3/2021,,Metallic,,Used,Italy,,,,,,,,,,,,,31399
1491,Peugeot,308,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,0 g/km,Euro 6d,20 100 km,7/2022,1,Metallic,,,,,,,,,,,,,,,,30999
1492,Opel,Astra,Red,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,100 kW,1 598 ccm,104 g/km,Euro 6,98 500 km,6/2017,2,,,,,,,,,,,,,,,,,17299
1493,BMW,120,Black,Black interior,Full leather interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,131 kW,1 998 ccm,0 g/km,Euro 6d,27 565 km,11/2020,,Metallic,,,,,,,,,,,,,,,,33949
1494,Citroen,C5 X,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,,28 g/km,Euro 6,10 km,4/2023,,,,Used,,,,,,,,,,,,,,51299
1495,Hyundai,i10,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,64 kW,1 248 ccm,114 g/km,Euro 6,43 500 km,7/2018,2,Metallic,,,,,,,,,,,,,,,,12349
1496,Abarth,595 Competizione,Grey,Brown interior,Full leather interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,132 kW,1 368 ccm,153 g/km,Euro 6,31 390 km,6/2020,,Metallic,1150,Used,Italy,,,,,,,,,,,,,28399
1497,Peugeot,208,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,Euro 6,19 511 km,3/2022,,Metallic,,Used,,12/2025,,,50 kWh,No,,,,362 km,,,,29749
1498,BMW,320,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,1 995 ccm,109 g/km,Euro 6,69 318 km,11/2020,1,,,,,,,,,,,,,,,,,32049
1499,Volkswagen,Passat,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,113 g/km,No emission class,25 197 km,7/2022,,,,Used,Germany,,,,,,,,,,,,,30599
1500,Seat,Alhambra,Blue,Black interior,Alcantara interior,MPV,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,135 kW,1 968 ccm,139 g/km,Euro 6,125 900 km,8/2018,,Metallic,,,,,,,,,,,,,,,,24599
1501,MG,HS,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,119 kW,1 490 ccm,168 g/km,Euro 6,20 km,11/2023,,,,,,,11/2026,,,,,,,,,,,29849
1502,Fiat,500,Blue,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,,0 g/km,No emission class,15 074 km,1/2021,,,,,,,,Lithium-ion (Li-ion),24 kWh,No,,3 h,30 min,,,,,25249
1503,BMW,i5,White,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,250 kW,,0 g/km,No emission class,3 000 km,10/2023,,Metallic,2205,Demonstration car,Germany,,,,,,,,,,,,,89149
1504,Ford,C-Max,Grey,Grey interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,134 kW,1 498 ccm,149 g/km,Euro 6d-TEMP,40 298 km,2/2018,,Metallic,,,,,,,,,,,,,,,,21099
1505,Citroen,C3,White,,Cloth interior,Hatchback,,,VF7SXHMRPJT734082,Petrol,Manual,4x2,60 kW,1 199 ccm,110 g/km,Euro 6,68 863 km,8/2019,1,,,Used,,,,,,,,,,,,,Yes,8799
1506,Audi,S4,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,255 kW,2 967 ccm,162 g/km,Euro 6d-TEMP,76 830 km,7/2020,3,Metallic,,,,,,,,No,Mild hybrid,,,,,,,44949
1507,Opel,Astra,Blue,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,102 g/km,Euro 6,100 km,4/2023,1,,,Used,,,,,,,,,,,,,,31949
1508,Mercedes-Benz,GLE 300,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,180 kW,1 950 ccm,161 g/km,Euro 6d,43 100 km,6/2021,,Metallic,,Used,Germany,,,,,,,,,,,,,63799
1509,Mercedes-Benz,A 180,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,1 332 ccm,124 g/km,Euro 6d,63 450 km,11/2019,1,,,,,,,,,,,,,,,,,29349
1510,BMW,745,Grey,,,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,290 kW,2 998 ccm,50 g/km,Euro 6,55 565 km,1/2020,,,,Used,,12/2025,,,11 kWh,No,Full hybrid,,,55 km,,15 l/100km,,77149
1511,MINI,Cooper S Countryman,Red,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,131 kW,1 998 ccm,157 g/km,Euro 6d,0 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,45099
1512,Mercedes-Benz,GLC 200,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,145 kW,1 991 ccm,195 g/km,Euro 6d,14 295 km,5/2022,,,1800,Used,Germany,,,,,No,Mild hybrid,,,,,,,55349
1513,Cupra,Formentor,Grey,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,272 kW,1 984 ccm,175 g/km,Euro 6d,9 999 km,5/2023,1,Metallic,,Demonstration car,,,05/2026,,,,,,,,,,,51099
1514,Ford,Fiesta,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,92 kW,999 ccm,104 g/km,Euro 6d,9 km,11/2022,1,Metallic,,,,,,,,No,Mild hybrid,,,,,,,25649
1515,BMW,X6,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,2 993 ccm,193 g/km,Euro 6d,5 km,8/2023,,Metallic,,New,,,,,,No,Mild hybrid,,,,,,,146949
1516,Mercedes-Benz,CLA 180 Shooting Brake,White,Black interior,Part leather interior,Station Wagon,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,100 kW,1 332 ccm,141 g/km,Euro 6d,9 000 km,6/2023,1,,,Demonstration car,,,,,,,,,,,,,,41499
1517,Kia,cee'd / Ceed,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,998 ccm,118 g/km,Euro 6d,5 990 km,9/2022,1,Metallic,,,,,09/2025,,,,,,,,,,,20999
1518,Kia,Sportage,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 598 ccm,153 g/km,Euro 6d,43 460 km,1/2022,1,Metallic,,,,,,,,,,,,,,,,25649
1519,Peugeot,3008,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,1 598 ccm,124 g/km,Euro 6d,17 991 km,11/2021,1,Metallic,,,,,,,,,,,,,,,,35799
1520,Opel,Vivaro,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,106 kW,2 000 ccm,211 g/km,Euro 6d-TEMP,5 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,39749
1521,Audi,A6,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,2 967 ccm,155 g/km,Euro 6d-TEMP,99 173 km,8/2019,1,Metallic,,,,,08/2024,,,No,Mild hybrid,,,,,,,39999
1522,Audi,A6,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,195 kW,1 984 ccm,160 g/km,Euro 6d,9 800 km,2/2023,1,Metallic,,Used,,,,,,No,Mild hybrid,,,,,,,54799
1523,BMW,320,Black,,,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 995 ccm,126 g/km,Euro 6,48 877 km,3/2021,,Metallic,,Used,,12/2025,,,,,,,,,,,,44899
