,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
1161,Mercedes-Benz,S 500,Black,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,335 kW,4 663 ccm,219 g/km,Euro 6,54 100 km,7/2017,1,Metallic,,,,,04/2025,,,,,,,,,,,77549
1162,Renault,Modus,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,82 kW,1 598 ccm,179 g/km,Euro 5,77 000 km,2/2011,,Metallic,1280,Used,Germany,,,,,,,,,,,,,7699
1163,BMW,118,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,1 499 ccm,143 g/km,Euro 6,40 008 km,7/2022,1,Metallic,,Used,,12/2025,,,,,,,,,,,,34599
1164,Skoda,Superb,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,132 kW,1 798 ccm,129 g/km,Euro 6,136 500 km,10/2017,,Metallic,1485,Used,,,,,,,,,,,,,,18999
1165,Mercedes-Benz,GLC 200,Grey,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,145 kW,1 991 ccm,152 g/km,Euro 6d-TEMP,76 900 km,9/2019,1,Metallic,,,,,,,,No,Mild hybrid,,,,,,,41349
1166,Mercedes-Benz,GLC 63 AMG,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,350 kW,3 982 ccm,298 g/km,Euro 6d-TEMP,67 087 km,5/2020,1,,,,,,,,,,,,,,,,,74399
1167,Volkswagen,Golf,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,150 kW,1 395 ccm,106 g/km,Euro 6,45 000 km,3/2021,,,,,,,,Lithium-ion (Li-ion),13 kWh,No,Plug-in hybrid,4 h,,,,,,25149
1168,Opel,Karl,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,54 kW,999 ccm,118 g/km,Euro 6d-TEMP,56 300 km,2/2019,2,,,,,,,,,,,,,,,,,12249
1169,Opel,Mokka,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,111 g/km,Euro 6,50 222 km,1/2022,1,,,Used,,12/2024,,,,,,,,,,,,23149
1170,BMW,320,Blue,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,135 kW,1 998 ccm,135 g/km,Euro 6d,69 998 km,10/2020,1,Metallic,,,,,,,,,,,,,,,,32599
1171,Skoda,Karoq,Black,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 598 ccm,120 g/km,Euro 6,59 689 km,12/2017,,,,Used,,12/2024,,,,,,,,,,,,18999
1172,Volvo,XC40,Grey,,,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,96 kW,1 477 ccm,147 g/km,Euro 6d-TEMP,53 690 km,2/2021,,,,,,,,,,,,,,,,,,26899
1173,Mercedes-Benz,A 200,Grey,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,120 kW,1 332 ccm,123 g/km,No emission class,71 500 km,10/2019,1,Metallic,,,,,,,,,,,,,,,,27299
